domain_idx,domain_name,n_in,n_out,a_top_in,b_top_out,c_not_top_in,d_not_top_out,odds_ratio,fisher_p,p_adj,median_pos_percentile,tau_cover_95,tau_cover_90,tau_all_in,layer_i,latent_ind,flattened_id,latent_i,latent_label,tau_input
9423,"Mur ligase, C-terminal domain superfamily",26,9974,20,181,6,9793,180.3499079189687,9.213942515611875e-30,1.1130442558859145e-26,0.9887488748874887,0.9631963196319632,0.964996499649965,0.9392939293929393,8,2775,6871,57,L8-2775,0.98
4213,Phosphopantetheine adenylyltransferase,18,9982,17,184,1,9798,905.25,1.2754107129032892e-28,1.5406961411871734e-25,0.9904990499049905,0.9853985398539854,0.986998699869987,0.976997699769977,8,2775,6871,57,L8-2775,0.98
1344,Cytidyltransferase-like domain,37,9963,19,182,18,9781,56.72741147741148,3.1436271394794365e-23,3.797501584491159e-20,0.981998199819982,0.9045904590459046,0.9256925692569257,0.8720872087208721,8,2775,6871,57,L8-2775,0.98
4101,Phosphoglycerate kinase,13,9987,13,188,0,9799,1403.6419098143238,5.926512134437742e-23,7.159226658400792e-20,0.9974997499749975,0.9934993499349934,0.9943994399439944,0.9924992499249925,8,2775,6871,57,L8-2775,0.98
8780,"Phosphoglycerate kinase, N-terminal",13,9987,13,188,0,9799,1403.6419098143238,5.926512134437742e-23,7.159226658400792e-20,0.9974997499749975,0.9934993499349934,0.9943994399439944,0.9924992499249925,8,2775,6871,57,L8-2775,0.98
9160,Phosphoglycerate kinase superfamily,13,9987,13,188,0,9799,1403.6419098143238,5.926512134437742e-23,7.159226658400792e-20,0.9974997499749975,0.9934993499349934,0.9943994399439944,0.9924992499249925,8,2775,6871,57,L8-2775,0.98
280,"Phosphoglycerate kinase, conserved site",10,9990,10,191,0,9799,1074.6187989556136,8.612246279668082e-18,1.0403593505839043e-14,0.9973997399739973,0.9931993199319932,0.993999399939994,0.9924992499249925,8,2775,6871,57,L8-2775,0.98
764,"Mur ligase, N-terminal catalytic domain",12,9988,10,191,2,9797,256.4659685863874,5.488214846388603e-16,6.629763534437432e-13,0.9874487448744875,0.9534953495349535,0.9667966796679668,0.9392939293929393,8,2775,6871,57,L8-2775,0.98
4507,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,10,9990,9,192,1,9798,459.28125,4.403997730366521e-15,5.320029258282757e-12,0.9950995099509952,0.9822982298229823,0.9851985198519851,0.9794979497949795,8,2775,6871,57,L8-2775,0.98
5954,"Uridylate kinase, bacteria",10,9990,9,192,1,9798,459.28125,4.403997730366521e-15,5.320029258282757e-12,0.9858985898589858,0.9730973097309731,0.9806980698069807,0.9655965596559656,8,2775,6871,57,L8-2775,0.98
