layer_id,latent_ind,flattened_id,latent_i,domain_idx,entry_name,n_in,n_out,mwu_p,mwu_p_adj,mwu_auc,prevalence,summary_kind,k_1x,precision_1x,lift_1x,or_topk_1x,fisher_p_1x,k_2x,precision_2x,lift_2x,or_topk_2x,fisher_p_2x,fisher_p_adj_1x,fisher_p_adj_2x
16,3092,15380,156,9059,Alpha/Beta hydrolase fold,63,9937,5.143006289032233e-45,1.4606137860851543e-42,0.9996006587533205,0.0063,topq,63,0.9682539682539683,153.69110607205846,151508.75,2.3247370315555028e-154,126,0.49206349206349204,78.10531620055428,9564.46875,1.4144995953749243e-124,6.602253169617628e-152,4.017178850864785e-122
16,2536,14824,151,292,"ABC transporter-like, conserved site",65,9935,5.878583712974864e-45,1.6695177744848616e-42,0.9962866323409857,0.0065,topq,65,0.6923076923076923,106.50887573964498,1115.4375,1.019893662804856e-91,130,0.4153846153846154,63.905325443786985,636.8253588516747,3.2612950078913515e-96,2.896498002365791e-89,9.262077822411438e-94
20,1960,18344,213,9059,Alpha/Beta hydrolase fold,63,9937,1.0121767128138467e-44,2.8745818643913246e-42,1.0,0.0063,topq,63,1.0,158.73015873015873,2524125.0,2.4111925520552505e-165,126,0.5,79.36507936507937,19749.0,1.4551388963649666e-128,6.847786847836912e-163,4.132594465676505e-126
16,3994,16282,172,292,"ABC transporter-like, conserved site",65,9935,1.484008071971314e-44,4.214582924398532e-42,0.993224420270218,0.0065,topq,65,0.5076923076923077,78.10650887573965,319.1396484375,1.0793163266950656e-58,130,0.4076923076923077,62.72189349112426,565.448051948052,1.8794427842868453e-93,3.0652583678139865e-56,5.337617507374641e-91
24,950,21430,278,9059,Alpha/Beta hydrolase fold,63,9937,3.4768264680498936e-44,9.874187169261698e-42,0.9999536764153851,0.0063,topq,63,0.9841269841269841,156.21063240110857,616032.0,1.509483695748253e-159,126,0.5,79.36507936507937,19749.0,1.4551388963649666e-128,4.286933695925039e-157,4.132594465676505e-126
16,2836,15124,154,9059,Alpha/Beta hydrolase fold,63,9937,4.656905050105664e-44,1.3225610342300086e-41,0.9868640690317253,0.0063,topq,63,0.8412698412698413,133.53489543965733,5261.31,7.937524112204105e-121,126,0.42063492063492064,66.76744771982867,716.1534246575342,7.243009083476648e-96,2.2542568478659656e-118,2.057014579707368e-93
24,1822,22302,297,767,Protein kinase domain,63,9937,7.233283382902928e-44,2.0542524807444316e-41,0.9993810210676468,0.0063,topq,63,0.9841269841269841,156.21063240110857,616032.0,1.509483695748253e-159,126,0.49206349206349204,78.10531620055428,9564.46875,1.4144995953749243e-124,4.286933695925039e-157,4.017178850864785e-122
20,136,16520,175,9059,Alpha/Beta hydrolase fold,63,9937,1.3491121118733544e-43,3.831478397720326e-41,0.9999824289851461,0.0063,topq,63,0.9682539682539683,153.69110607205846,151508.75,2.3247370315555028e-154,126,0.5,79.36507936507937,19749.0,1.4551388963649666e-128,6.602253169617628e-152,4.132594465676505e-126
24,2848,23328,327,767,Protein kinase domain,63,9937,4.665536741140482e-43,1.325012434483897e-40,0.9968180489464579,0.0063,topq,63,0.9841269841269841,156.21063240110857,616032.0,1.509483695748253e-159,126,0.49206349206349204,78.10531620055428,9564.46875,1.4144995953749243e-124,4.286933695925039e-157,4.017178850864785e-122
28,1879,26455,371,9059,Alpha/Beta hydrolase fold,63,9937,9.142340570445682e-43,2.5964247220065738e-40,0.9978675177427316,0.0063,topq,63,0.7936507936507936,125.97631645250692,2936.0946745562132,3.7058402370693854e-110,126,0.47619047619047616,75.58578987150415,2991.212121212121,2.0261342410476785e-117,1.0524586273277054e-107,5.754221244575407e-115
24,1865,22345,300,9059,Alpha/Beta hydrolase fold,63,9937,1.0253707344259385e-42,2.9120528857696653e-40,0.9947877980483395,0.0063,topq,63,0.8412698412698413,133.53489543965733,5261.31,7.937524112204105e-121,126,0.42857142857142855,68.02721088435374,822.0833333333333,9.923718864611803e-99,2.2542568478659656e-118,2.818336157549752e-96
12,1256,9448,73,1458,GTP binding domain,62,9938,1.1312855814071361e-42,3.2128510511962664e-40,0.9967500113607592,0.0062,topq,62,0.5,80.64516129032258,319.5806451612903,1.6992866603071808e-55,124,0.4838709677419355,78.04370447450573,4628.4375,2.6463355335231707e-119,4.825974115272394e-53,7.515592915205805e-117
16,708,12996,115,8787,WD40/YVTN repeat-like-containing domain superfamily,57,9943,2.579354428909556e-42,7.325366578103139e-40,0.9989183962622034,0.0057,topq,57,0.7543859649122807,132.34841489689134,2178.3010204081634,3.840878686563216e-94,114,0.5,87.71929824561403,19773.0,7.364489662581701e-119,1.0908095469839534e-91,2.091515064173203e-116
16,1836,14124,141,767,Protein kinase domain,63,9937,3.2567649836373295e-42,9.249212553530015e-40,0.9946759824992693,0.0063,topq,63,0.8253968253968254,131.0153691106072,4265.719008264463,3.451536358706469e-117,126,0.47619047619047616,75.58578987150415,2991.212121212121,2.0261342410476785e-117,9.802363258726372e-115,5.754221244575407e-115
16,1836,14124,141,8644,Protein kinase-like domain superfamily,78,9922,5.896252278461506e-42,1.6745356470830677e-39,0.9434796541226697,0.0078,topq,78,0.7307692307692307,93.68836291913215,1279.7210884353742,1.3616508815843197e-114,156,0.38461538461538464,49.30966469428009,341.18055555555554,1.610095725786064e-97,3.8670885036994678e-112,4.572671861232422e-95
24,3996,24476,355,1458,GTP binding domain,62,9938,6.911904340478789e-42,1.962980832695976e-39,0.9966453300787463,0.0062,topq,62,0.6451612903225806,104.0582726326743,819.5041322314049,9.906070680659445e-80,124,0.4274193548387097,68.93860561914673,818.3896713615025,3.8714415194098303e-97,2.8133240733072824e-77,1.0994893915123917e-94
20,878,17262,192,21,"Serine/threonine-protein kinase, active site",52,9948,1.2975694581119378e-40,3.6850972610379033e-38,0.9979624818285856,0.0052,topq,52,0.8461538461538461,162.72189349112426,6833.75,1.6446315295335155e-104,104,0.49038461538461536,94.30473372781066,9521.603773584906,1.41600837600597e-106,4.670753543875184e-102,4.021463787856955e-104
24,231,20711,267,8787,WD40/YVTN repeat-like-containing domain superfamily,57,9943,7.391334426226639e-40,2.0991389770483657e-37,0.9986625519849105,0.0057,topq,57,0.7368421052631579,129.27054478301014,1853.2266666666667,7.28880112602528e-91,114,0.5,87.71929824561403,19773.0,7.364489662581701e-119,2.0700195197911795e-88,2.091515064173203e-116
12,3035,11227,91,8787,WD40/YVTN repeat-like-containing domain superfamily,57,9943,1.0770392131676138e-39,3.0587913653960234e-37,0.9948813500108513,0.0057,topq,57,0.8596491228070176,150.8156355801785,7606.484375,1.8567684318494145e-115,114,0.45614035087719296,80.02462296091105,1657.458064516129,3.74821582357749e-101,5.273222346452337e-113,1.0644932938960071e-98
