Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
Top2,16,3666,0.9877529740333557,IPR002661,Ribosome recycling factor,8.78038215637207,3.114250659942627,5.666131496429443,1.495393991470337,0.0001145891219493933
Top2,16,3666,0.9999785423278809,IPR002876,Transcriptional regulator TACO1-like,11.513392448425293,3.1126885414123535,8.400703430175781,1.8870751857757568,0.013593935407698154
Top2,16,3666,0.9979107975959778,IPR005727,"Large ribosomal subunit protein uL22, bacterial/chloroplast-type",10.423047065734863,3.109823226928711,7.313223838806152,1.7448680400848389,1.8717494185693795e-06
Top2,16,3666,0.9697956442832947,IPR013025,Large ribosomal subunit protein uL23-like,7.66015625,3.1162707805633545,4.543885231018066,1.297548532485962,0.0007586191059090197
Top2,16,3666,0.9979107975959778,IPR047867,"Large ribosomal subunit protein uL22, bacterial/organelle-type",10.423047065734863,3.109823226928711,7.313223838806152,1.7448680400848389,1.8717494185693795e-06
Top2,16,3666,0.9702751040458679,IPR012678,Ribosomal protein uL23/eL15/eS24 core domain superfamily,7.6766037940979,3.115784168243408,4.560819625854492,1.300868272781372,0.00018748028378468007
Top2,16,3666,0.9758330583572388,IPR016039,Thiolase-like,7.8938798904418945,3.115370273590088,4.778509616851807,1.341326355934143,0.00010189367458224297
Top2,16,3666,0.9999785423278809,IPR017856,"Integrase-like, N-terminal",11.513392448425293,3.1126885414123535,8.400703430175781,1.8870751857757568,0.013593935407698154
Top2,16,3666,0.9999785423278809,IPR026564,"Transcriptional regulator TACO1-like, domain 3",11.513392448425293,3.1126885414123535,8.400703430175781,1.8870751857757568,0.013593935407698154
Top2,16,3666,0.9999785423278809,IPR029072,YebC-like,11.513392448425293,3.1126885414123535,8.400703430175781,1.8870751857757568,0.013593935407698154
Top2,16,3666,0.9877529740333557,IPR036191,RRF superfamily,8.78038215637207,3.114250659942627,5.666131496429443,1.495393991470337,0.0001145891219493933
Top2,16,3666,0.99783855676651,IPR036394,Ribosomal protein uL22 superfamily,10.3623046875,3.10703706741333,7.25526762008667,1.7377288341522217,4.627286553926524e-09
Top2,16,3666,0.9875246286392212,IPR036402,"Elongation factor Ts, dimerisation domain superfamily",8.807639122009277,3.1159119606018066,5.691727161407471,1.4990962743759155,0.009119215421378613
Top2,16,3666,0.9598737359046936,IPR036838,Small ribosomal subunit protein uS10 domain superfamily,7.2409539222717285,3.1166136264801025,4.124340057373047,1.216195821762085,0.000576065736822784
MetX,16,3679,0.9909169673919678,IPR033690,"Adenylate kinase, conserved site",11.487253189086914,3.9292409420013428,7.558012008666992,1.5477076768875122,1.8928303688880987e-05
