Case,Layer,Latent_ID,AUC,InterPro ID,InterPro Name,A_in,A_out,Delta_In_Out,L2FC,Bonferroni adj. p-value
2pkea,12,264,0.980177640914917,IPR018171,"Peptidyl-tRNA hydrolase, conserved site",5.7147216796875,1.2008615732192993,4.51386022567749,2.250601291656494,0.0032443846575915813
2pkea,12,264,0.9977667331695557,IPR018181,"Heat shock protein 70, conserved site",15.768254280090332,1.1774431467056274,14.590810775756836,3.743281364440918,2.8710755373140273e-07
2pkea,12,264,0.9658287167549133,IPR018223,"Argininosuccinate synthase, conserved site",4.216797351837158,1.203563928604126,3.0132334232330322,1.8088228702545166,0.0478503443300724
2pkea,12,264,0.9566608667373657,IPR018260,"Large ribosomal subunit protein uL22, conserved site",3.8269314765930176,1.2033613920211792,2.623569965362549,1.669106125831604,0.0021849614568054676
2pkea,12,264,0.9919458627700806,IPR023865,"Aliphatic acid kinase, short-chain, conserved site",12.290061950683594,1.19254732131958,11.097515106201172,3.3653616905212402,0.02088186703622341
2pkea,12,264,0.9529768228530884,IPR001048,Aspartate/glutamate/uridylate kinase,3.737032651901245,1.1992013454437256,2.5378313064575195,1.6398072242736816,1.6157206865832774e-12
2pkea,12,264,0.9759266972541809,IPR005843,"Alpha-D-phosphohexomutase, C-terminal",4.919094562530518,1.2017643451690674,3.71733021736145,2.033226728439331,0.0011965060839429498
2pkea,12,264,0.9753194451332092,IPR005844,"Alpha-D-phosphohexomutase, alpha/beta/alpha domain I",4.875260353088379,1.2014710903167725,3.6737892627716064,2.020665407180786,0.00031509576365351677
2pkea,12,264,0.9754576086997986,IPR005845,"Alpha-D-phosphohexomutase, alpha/beta/alpha domain II",4.89404296875,1.2021769285202026,3.691865921020508,2.0253655910491943,0.005073857493698597
2pkea,12,264,0.9754576086997986,IPR005846,"Alpha-D-phosphohexomutase, alpha/beta/alpha domain III",4.89404296875,1.2021769285202026,3.691865921020508,2.0253655910491943,0.005073857493698597
2pkea,12,264,0.9720795750617981,IPR011761,ATP-grasp fold,4.636429786682129,1.1977678537368774,3.438662052154541,1.9526538848876953,3.2966050028671035e-11
2pkea,12,264,0.9936932921409607,IPR018484,"Carbohydrate kinase FGGY, N-terminal",12.732030868530273,1.18614661693573,11.545884132385254,3.42409610748291,9.697489986137953e-06
2pkea,12,264,0.9936773777008057,IPR018485,"Carbohydrate kinase FGGY, C-terminal",12.692675590515137,1.1850686073303223,11.507606506347656,3.4209415912628174,2.168919309042394e-06
2pkea,12,264,0.9581663608551025,IPR022310,NAD/GMP synthase,3.9046406745910645,1.2032212018966675,2.7014193534851074,1.6982759237289429,0.0018740774830803275
2pkea,12,264,0.9799624085426331,IPR024567,Ribonuclease HII/HIII domain,5.561458110809326,1.199359655380249,4.362098693847656,2.213186740875244,1.125225935538765e-05
2pkea,12,264,0.9658287167549133,IPR048267,"Arginosuccinate synthase-like, N-terminal domain",4.216797351837158,1.203563928604126,3.0132334232330322,1.8088228702545166,0.0478503443300724
2pkea,12,264,0.9658287167549133,IPR048268,Arginosuccinate synthase C-terminal domain,4.216797351837158,1.203563928604126,3.0132334232330322,1.8088228702545166,0.0478503443300724
2pkea,12,264,0.9935569763183594,IPR000577,"Carbohydrate kinase, FGGY",12.74901008605957,1.1907464265823364,11.558263778686523,3.4204349517822266,0.004024693742394447
2pkea,12,264,0.9573184251785278,IPR001063,Large ribosomal subunit protein uL22,3.8427734375,1.2017452716827393,2.6410281658172607,1.6770048141479492,8.98742939625663e-07
2pkea,12,264,0.980177640914917,IPR001328,Peptidyl-tRNA hydrolase,5.7147216796875,1.2008615732192993,4.51386022567749,2.250601291656494,0.0032443846575915813
2pkea,12,264,0.9799624085426331,IPR001352,Ribonuclease HII/HIII,5.561458110809326,1.199359655380249,4.362098693847656,2.213186740875244,1.125225935538765e-05
2pkea,12,264,0.9658287167549133,IPR001518,Argininosuccinate synthase,4.216797351837158,1.203563928604126,3.0132334232330322,1.8088228702545166,0.0478503443300724
2pkea,12,264,0.984711229801178,IPR001971,Small ribosomal subunit protein uS11,6.84521484375,1.1945221424102783,5.650692939758301,2.5186500549316406,1.991487685870652e-08
