layer,unit,domain,aggregator,n_pos,n_neg,auc,ci_lo,ci_hi,U,p_mwu,auc_from_U,auc_matches_U,rho_len_pos,rho_len_neg,qval
12,1256,IPR016181,mean,1554,1579,0.7656263881723032,0.7488455908183583,0.7828723735270601,1878668.0,1.7359820213522748e-146,0.7656263881723033,True,-0.6108878833014355,-0.24157441620080872,2.314642695136366e-146
12,1256,IPR016181,topk,1554,1579,0.9618182825909234,0.9538351252727442,0.9694005306536974,2360077.0,0.0,0.9618182825909235,True,0.2639649064478926,0.20371106554356297,0.0
12,2797,IPR013785,max,12702,13012,0.922707697164392,0.9193753084038363,0.925946539761294,152503674.0,0.0,0.9227076971643922,True,-0.312997788036518,0.09160809149419966,0.0
12,2797,IPR013785,topq,12702,13012,0.9290163276242275,0.9258683727223826,0.9321349469516964,153546354.5,0.0,0.9290163276242276,True,-0.4815555543303561,0.035682786217264,0.0
12,2797,IPR013785,mean,12702,13012,0.6563533816125933,0.6496049559983703,0.66306652297822,108481052.5,0.0,0.6563533816125933,True,-0.25517102151323806,-0.058949074522827154,0.0
12,2797,IPR013785,topk,12702,13012,0.8207830684542345,0.8157652526533046,0.8260785513964001,135657732.0,0.0,0.8207830684542345,True,0.26486656507847317,0.2116619258665994,0.0
12,3794,IPR029063,max,10228,10545,0.9763361595545692,0.9740523945229425,0.9785194343505764,105302014.0,0.0,0.9763361595545693,True,-0.0004608967453965435,0.05858088452218479,0.0
12,3794,IPR029063,topq,10228,10545,0.9684162034953464,0.9657205726041791,0.9709645273863082,104447813.0,0.0,0.9684162034953464,True,-0.6616833803257917,-0.023259974501125547,0.0
12,3794,IPR029063,mean,10228,10545,0.7360582975582048,0.7294532922250822,0.7426622590058102,79387023.0,0.0,0.736058297558205,True,-0.0745961176555843,-0.0883154476712477,0.0
12,3794,IPR029063,topk,10228,10545,0.9085750762185936,0.9044258392065367,0.9128150244135002,97993692.5,0.0,0.9085750762185935,True,0.3140809704991497,0.14712516864416048,0.0
12,3035,IPR036322,max,2148,2174,0.9972951454381304,0.9955820887276241,0.9987958755625566,4657121.0,0.0,0.9972951454381304,True,-0.07053223432522254,0.1106032114292488,0.0
12,3035,IPR036322,topq,2148,2174,0.9970917085104306,0.9951726933250417,0.9987251651693709,4656171.0,0.0,0.9970917085104305,True,-0.49578377955212566,0.03102914320803693,0.0
12,3035,IPR036322,mean,2148,2174,0.9359432792148278,0.9286860148033557,0.9427853502712777,4370623.0,0.0,0.9359432792148277,True,-0.7917898091092102,0.0040252878355682776,0.0
12,3035,IPR036322,topk,2148,2174,0.9963094399873913,0.994263603291995,0.998173050731602,4652518.0,0.0,0.9963094399873912,True,0.0031895226923548147,0.24756817343316556,0.0
12,1082,PF00867,max,220,223,0.9979514879739095,0.9931818181818182,1.0,48959.5,8.937805941562591e-74,0.9979514879739095,True,0.6881712916808694,0.03290138300970005,1.1111866846267006e-73
12,1082,PF00867,topq,220,223,0.9937729311047697,0.9829596412556053,0.9999999999999999,48754.5,1.406054468889209e-72,0.9937729311047697,True,-0.061830940657200205,-0.054597379367624314,1.6169626392225904e-72
12,1082,PF00867,mean,220,223,0.5909396657154504,0.5330141663269466,0.6482108642478598,28991.5,0.0004647063446534179,0.5909396657154504,True,0.5792860097750456,-0.12294055247235385,0.0004750331523123827
12,1082,PF00867,topk,220,223,0.6866999592335915,0.6329922543823889,0.7408540562576437,33689.5,5.302621360296748e-12,0.6866999592335915,True,0.7363981282606037,0.04492922307355266,5.607369714336791e-12
12,2472,IPR036961,max,221,222,0.9975846887611594,0.9922343157637276,1.0,48943.5,1.1319975944457483e-73,0.9975846887611594,True,-0.07299255065105578,0.09112035687615894,1.3703128774869583e-73
12,2472,IPR036961,topq,221,222,0.9976050711344829,0.9922954628836981,1.0,48944.5,1.1168306545910581e-73,0.9976050711344829,True,-0.2917850862378763,-0.02814102155500926,1.3699789362983646e-73
12,2472,IPR036961,mean,221,222,0.9959337165219518,0.9874648404060169,1.0,48862.5,3.369502529953731e-73,0.9959337165219518,True,-0.8574228750931622,-0.09485508992216314,3.9239776298195347e-73
12,2472,IPR036961,topk,221,222,0.9974827768945416,0.9920203008438303,1.0,48938.5,1.2109684165517217e-73,0.9974827768945416,True,-0.10460520051605295,0.0021410275787959415,1.446871354841018e-73
12,3943,IPR036890,max,1700,1737,0.994782247959633,0.9922612050865252,0.9970064258864169,2937492.5,0.0,0.9947822479596329,True,-0.27517686207593894,0.1365233862932636,0.0
